Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,L1_min,Check_prices,STANDARD,E_min,SnapEDA_Link,D_min,D_nom,L_min,E_max,DigiKey_Part_Number,L_max,A_max,L1_nom,Description_1,MF,D_max,A_nom,L1_max,A_min,MP,E_nom,MANUFACTURER,L_nom,LCSC,Purchase-URL,Price,Availability,Description,Sim.Device,Sim.Pins,MAXIMUM_PACKAGE_HEIGHT,PARTREV,SNAPEDA_PN,Comment,Power_Rating,Resistance,Voltage_Rating,EU_RoHS_Compliance,Tolerance,KiLib_Generator,CREATOR
"R13, R14",2,10k,10k_RESC2012X65N,,0805W8F1002T5E,,smt,,,,,,,,,,,,,,,,,,,,,,,,C17414,,,,,,,,,,,,,,,,,
R15,1,0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,0805W8F0000T5E,,smt,,,,,,,,,,,,,,,,,,,,,,,,C17477,,,,"Resistor, small symbol",,,,,,,,,,,,,
"R2, R3",2,5.1k,5K1_RESC2012X65N,0805,0805W8F5101T5E,,smt,,https://www.snapeda.com/parts/CRG0805F5K1/TE+Connectivity/view-part/?ref=eda,,,https://www.snapeda.com/parts/CRG0805F5K1/TE+Connectivity/view-part/?ref=snap,,,,,,,,,CRG0805 1% 5K1,TE Connectivity,,,,,CRG0805F5K1,,,,C27834,,None,In Stock,,,,,,,1623257-1,.125 W,5.1K,150 V,Compliant with Exemptions,1%,,
"R4, R9",2,27,27R_RESC2012X65N,2012 TE Connectivity,0805W8F270JT5E,,smt,,https://www.snapeda.com/parts/CRGCQ0805F27R/TE+Connectivity/view-part/?ref=eda,,,https://www.snapeda.com/parts/CRGCQ0805F27R/TE+Connectivity/view-part/?ref=snap,,,,,,,,,"27 Ohms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film",TE Connectivity,,,,,CRGCQ0805F27R,,,,C17594,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=3186993&manufacturer=TE Connectivity&part_name=CRGCQ0805F27R&search_term=crgcq0805f27r,None,In Stock,,,,,,,2176341-6,,,,,,,
R5,1,470 ohm,R_0603_1608Metric,,0603WAF4700T5E,,smt,,,,,,,,,,,,,,,,,,,,,,,,C23179,,,,Resistor,,,,,,,,,,,,,
SW1,1,SW_Push_B,SW_SPST_TL3342,,TS-1187A-B-A-B,,smt,,,,,,,,,,,,,,,,,,,,,,,,C318884,,,,"Push button switch, generic, two pins",,,,,,,,,,,,,
SW2,1,SW_Push_R,SW_SPST_TL3342,,TS-1187A-B-A-B,,smt,,,,,,,,,,,,,,,,,,,,,,,,C318884,,,,"Push button switch, generic, two pins",,,,,,,,,,,,,
U1,1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,RP2040,,smt,,,,,,,,,,,,,,,,,,,,,,,,C2040,,,,"A microcontroller by Raspberry Pi, Dual ARM Cortex-M0+, 133MHz, no flash, 264KB SRAM, 8 PIO state machines, VQFN-56",,,,,,,,,,,,package/no_lead,
U3,1,AP2112K-3.3,SOT-23-5,,AP2112K-3.3TRG1,,smt,,,,,,,,,,,,,,,,,,,,,,,,C51118,,,,"600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5",,,,,,,,,,,,,
U4,1,USBLC6-2SC6,SOT-23-6,,USBLC6-2SC6,,smt,,,,,,,,,,,,,,,,,,,,,,,,C7519,,,,17V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-6,,,,,,,,,,,,package/gullwing,
U6,1,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,,W25Q128JVSIQ,,smt,,,,,,,,,,,,,,,,,,,,,,,,C97521,,,,"128Mbit / 16MiB Serial Flash Memory, Standard/Dual/Quad SPI, 2.7-3.6V, SOIC-8",,,,,,,,,,,,,
U7,1,~,SOT95P280X145-5N,SOT-23-5 Texas Instruments,SN74AHCT1G125DBVR,,smt,,https://www.snapeda.com/parts/SN74AHCT1G125DBVR/Texas+Instruments/view-part/?ref=eda,,,https://www.snapeda.com/parts/SN74AHCT1G125DBVR/Texas+Instruments/view-part/?ref=snap,,,,,296-4708-1-ND,,,,Single 4.5-V to 5.5-V buffer with TTL-compatible CMOS inputs and 3-state outputs,Texas Instruments,,,,,SN74AHCT1G125DBVR,,,,C7484,,,,,,,,,,,,,,,,,
Y1,1,ABM8-272-T3,XTAL_ABM8-272-T3,NON-STANDARD-4 Abracon,ABM8-272-T3,,smt,,https://www.snapeda.com/parts/ABM8-272-T3/Abracon/view-part/?ref=eda,Manufacturer Recommendations,,,,,,,,,,,"12 MHz ±30ppm Crystal 10pF 50 Ohms 4-SMD, No Lead",ABRACON,,,,,ABM8-272-T3,,ABRACON,,C20625731,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=15805472&manufacturer=ABRACON&part_name=ABM8-272-T3&search_term=None,None,In Stock,,,,0.8mm,07-29-20,,,,,,,,,DIZAR
